id,seed_text(prime_text),generated_text,perplexity,readability_(0-10),relevance_(R/I),difficulty_score,difficulty_label,school_grade_level,#_syllables,#_words,#_sentences,#_difficult_words,,,
-,-,enjoy all your favorite fox sports coverage live on hulu. start free trial now! watch live news. no hidden fees. 50+ top channels. all-new tv experience. no hidden fees. watch live news. no hidden fees. 7 day free trial. enhanced cloud dvr. hassle-free tv.,-,-,-,84.34,Easy,2th and 3th grade,62,44,11,9,,,
-,-,"watch the best of food network & hgtv now on hulu. try a 30 day free trial! hbo. unlimited streaming. showtime. hit movies. 50+ live tv channels. all your tv in one place. live tv. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,87.52,Easy,3th and 4th grade,58,46,5,9,,,
-,-,"enjoy all your favorite fox shows live on hulu. start your free trial now! enhanced cloud dvr. watch live tv & sports. 7 day free trial. 50+ top channels. hassle-free tv. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,91.07,Very Easy,1th and 2th grade,50,40,7,6,,,
-,-,"stream season 7 or binge from the beginning. sign up for hbo on hulu today! hbo. prices starting at $7.99. live tv. all your tv in one place. showtime. 50+ live tv channels. unlimited streaming. hit movies. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,88.53,Easy,7th and 8th grade,63,49,6,10,,,
-,-,"experience 50+ live & on demand channels + hulus huge streaming library. watch live tv & sports. all-new tv experience. no hidden fees. 7 day free trial. 50+ top channels. enhanced cloud dvr. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,74.86,Fairly Easy,7th and 8th grade,59,40,8,11,,,
-,-,"stream season 7 or binge from the beginning. sign up for hbo on hulu today! hit movies. showtime. live tv. prices starting at $7.99. hbo. all your tv in one place. 50+ live tv channels. unlimited streaming. hit movies. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace.",-,-,-,87.72,Easy,7th and 8th grade,68,54,6,10,,,
-,-,"enjoy all your favorite fox sports coverage live on hulu. start free trial now! all-new tv experience. 50+ top channels. no hidden fees. watch live news. no hidden fees. hassle-free tv. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,82.71,Easy,6th and 7th grade,62,45,8,9,,,
-,-,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! no hidden fees. 50+ top channels. watch live tv & sports. 7 day free trial. no hidden fees. hassle-free tv. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,82.41,Easy,6th and 7th grade,59,41,7,9,,,
-,-,"start your 30 day trial and watch great exclusives and originals only on hulu! live tv. hbo. showtime. all your tv in one place. hit movies. 50+ live tv channels. unlimited streaming. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,85.69,Easy,7th and 8th grade,59,44,4,10,,,
-,-,"stream seasons 1 - 6 of nashlille on hulu. sign up for 30 days free today! hit movies. live tv. unlimited streaming. hbo. showtime. all your tv in one place. prices starting at $7.99. 50+ live tv channels. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace.",-,-,-,88.02,Easy,5th and 6th grade,65,52,6,10,,,
-,-,enjoy all your favorite fs1 sports coverage live on hulu. start free trial now! watch live news. all-new tv experience. no hidden fees. hassle-free tv. nhl. 50+ top channels.,-,-,-,75.06,Fairly Easy,7th and 8th grade,43,29,6,7,,,
-,-,cut your cable & enjoy a better live tv experience with hulu. 50+ top channels. hassle-free tv. enhanced cloud dvr. watch live tv & sports. all-new tv experience. 7 day free trial.,-,-,-,66.4,Standard,8th and 9th grade,48,30,6,9,,,
-,-,"watch the best of food network & ggte now on hulu. try a 30 day free trial! showtime. hbo. 50+ live tv channels. all your tv in one place. unlimited streaming. hit movies. prices starting at $7.99. live tv. shows: grey's anatomy, rick and morty.",-,-,-,89.45,Easy,2th and 3th grade,56,44,6,9,,,
-,-,"current hbo episodes, past seasons and hit movies. add hbo on hulu now. hbo. showtime. hit movies. unlimited streaming. live tv. all your tv in one place. prices starting at $7.99. 50+ live tv channels. shows: grey's anatomy, rick and morty, this is us, empire.",-,-,-,89.24,Easy,2th and 3th grade,57,45,6,10,,,
-,-,"cut your cable & enjoy a better live tv experience with hulu. 50+ top channels. no hidden fees. all-new tv experience. hassle-free tv. enhanced cloud dvr. watch live tv & sports. 7 day free trial. brands: hbo, fs1, cbs, fx, cnn international.",-,-,-,66.4,Standard,7th and 8th grade,63,40,8,10,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! showtime. all your tv in one place. unlimited streaming. hit movies. live tv. prices starting at $7.99. 50+ live tv channels. hbo. shows: grey's anatomy, rick and morty, this is us, empire, power.",-,-,-,87.31,Easy,6th and 7th grade,63,47,5,10,,,
-,-,"current hbo episodes, past seasons and hit movies. odd hbo on hulu now. showtime. all your tv in one place. live tv. hit movies. unlimited streaming. prices starting at $7.99. hbo. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace.",-,-,-,95.98,Very Easy,5th and 6th grade,57,46,5,9,,,
-,-,"all your tv together in one place. stream live tv, hit shows & hulu originals! prices starting at $7.99. hit movies. showtime. live tv. all your tv in one place. 50+ live tv channels. hbo. unlimited streaming. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace, black-ish, power, insecure, game of thrones.",-,-,-,87.21,Easy,3th and 4th grade,76,57,6,12,,,
-,-,"experience 50+ live & on demand channels + hulus huge streaming library. watch live tv & sports. all-new tv experience. no hidden fees. 50+ top channels. no hidden fees. 7 day free trial. enhanced cloud dvr. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,75.06,Fairly Easy,6th and 7th grade,63,43,9,11,,,
-,-,stream seasons 1 - 6 of nashville on hulu. sign up for 30 days free today! unlimited streaming. live tv.,-,-,-,70.29,Fairly Easy,6th and 7th grade,28,19,2,6,,,
-,-,"watch the best of hbo now on hulu. start streaming all your tv in one place. hit movies. live tv. unlimited streaming. hbo. prices starting at $7.99. showtime. shows: grey's anatomy, rick and morty, this is us, empire,",-,-,-,87.21,Easy,5th and 6th grade,48,38,4,8,,,
-,-,catch up with the latest season or binge from the beginning - only on hulu! hbo. live tv. 50+ live tv channels. all your tv in one place. showtime. prices starting at $7.99. hit movies.,-,-,-,88.23,Easy,5th and 6th grade,44,34,4,5,,,
-,-,"catch up with the latest episodes. sign up today for your hulu free trial! showtime. hbo. prices starting at $7.99. all your tv in one place. unlimited streaming. hit movies. live tv. 50+ live tv channels. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,88.74,Easy,7th and 8th grade,61,48,6,10,,,
-,-,"enjoy your favorite fx shows live on hulu. start your free trial today! 7 day free trial. enhanced cloud dvr. 50+ top channels. hassle-free tv. watch live tv & sports. brands: fx, cbs, hgtv, epex, abc, cnn, nbc, e!, usa.",-,-,-,91.17,Very Easy,1th and 2th grade,50,39,7,7,,,
-,-,stream seasons 1 - 6 of nashville on hulu. sign up for 30 days free today! hbo. showtime. unlimited streaming. live tv. 50+ live tv channels. hit movies.,-,-,-,79.26,Fairly Easy,8th and 9th grade,38,27,3,8,,,
-,-,"current showtime episodes, past seasons and hit movies. add hbo on hulu now. showtime. hit movies. prices starting at $7.99. live tv. all your tv in one place. hbo. 50+ live tv channels. hit movies. unlimited streaming. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace, black-ish.",-,-,-,87.92,Easy,5th and 6th grade,67,53,6,12,,,
-,-,catch up with the latest episodes or binge from the beginning - only on hulu! live tv. showtime. hit movies. 50+ live tv channels.,-,-,-,85.18,Easy,6th and 7th grade,31,23,2,4,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! showtime. hit movies. all your tv in one place. live tv. prices starting at $7.99. 50+ live tv channels. unlimited streaming. hbo. shows: grey's anatomy, rick and morty, this is us, empire.",-,-,-,87.52,Easy,6th and 7th grade,61,46,5,9,,,
-,-,"catch up with the latest episodes. sign up today for your hulu free trial! showtime. prices starting at $7.99. hit movies. unlimited streaming. hbo. all your tv in one place. live tv. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,87.92,Easy,5th and 6th grade,56,44,5,9,,,
-,-,"seasons 1-4 of tv land's younger now streaming on hulu! 30 day free trial. hit movies & shows. award-winning originals. shows: the handmaid's tale, marvels runaways, future man, the mindy project, game of thrones, rick & morty.",-,-,-,79.46,Fairly Easy,8th and 9th grade,49,35,4,10,,,
-,-,all the biggest games & your hometown teams in one place. start your free trial! nhl. golf. live sports. no hidden fees.,-,-,-,98.21,Very Easy,2th and 3th grade,26,21,3,3,,,
-,-,"stream season 7 or binge from the beginning. start your free trial today! 50+ live tv channels. hbo. unlimited streaming. live tv. hit movies. showtime. prices starting at $7.99. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace, black-ish.",-,-,-,87.72,Easy,7th and 8th grade,60,45,5,11,,,
-,-,"all your tv togethet in one place. choose the plan for you and try 30 days free! all your tv in one place. hbo. showtime. 50+ live tv channels. 30 day free trial. live tv. current episodes next day. hbo. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace, black-ish, power, insecure, game of thrones.",-,-,-,96.48,Very Easy,6th and 7th grade,74,61,7,10,,,
-,-,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! no hidden fees. 7 day free trial. watch live tv & sports. 50+ top channels. no hidden fees. watch live tv & sports. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,82.91,Easy,5th and 6th grade,60,43,8,8,,,
-,-,"stream the entire season from the beginning. try free for 30 days! showtime. hbo. hit movies. 30 day free trial. live tv. all your tv in one place. unlimited streaming. 50+ live tv channels. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace, black-ish. power, insecure, game of thrones.",-,-,-,88.84,Easy,2th and 3th grade,72,55,7,12,,,
-,-,"all your tv together in one place. stream live tv, hit shows & hulu originals! prices starting at $7.99. showtime. all your tv in one place. hit movies. live tv. 50+ live tv channels. unlimited streaming. hbo. shows: grey's anatomy, rick and morty, this is us, empire.",-,-,-,89.04,Easy,2th and 3th grade,61,46,6,9,,,
-,-,"enjoy your favorite fx shows live on hulu. start your free trial today! 7 day free trial. enhanced cloud dvr. 50+ top channels. watch live tv & sports. hassle-free tv. all-new tv experience. no hidden fees. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,83.32,Easy,5th and 6th grade,61,45,9,9,,,
-,-,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! no hidden fees. 50+ top channels. watch live tv & sports. hassle-free tv. no hidden fees. 7 day free trial. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,82.41,Easy,6th and 7th grade,59,41,7,9,,,
-,-,"start your 30 day trial and watch great exclusives and originals only on hulu! showtime. hbo. all your tv in one place. live tv. 50+ live tv channels. hit movies. prices starting at $7.99. unlimited streaming. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace, black-ish, power, insecure, game of thrones.",-,-,-,76.82,Fairly Easy,7th and 8th grade,77,57,5,14,,,
-,-,enjoy all your favorite fox sports coverage live on hulu. start free trial!,-,-,-,73.34,Fairly Easy,7th and 8th grade,19,13,2,3,,,
-,-,"experience 50+ live & on demand channels + hulus huge streaming library. enhanced cloud dvr. 50+ top channels. no hidden fees. 7 day free trial. watch live tv & sports. all-new tv experience. no hidden fees. watch live tv & sports. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,83.62,Easy,5th and 6th grade,68,47,10,11,,,
-,-,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! no hidden fees. 50+ top channels. hassle-free tv. 7 day free trial. watch live tv & sports. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,72.83,Fairly Easy,8th and 9th grade,61,42,6,11,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! showtime. all your tv in one place. hit movies. prices starting at $7.99. 50+ live tv channels. live tv. unlimited streaming. hbo. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace, black-ish.",-,-,-,86.3,Easy,6th and 7th grade,68,52,5,10,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! showtime. all your tv in one place. hit movies. prices starting at $7.99. live tv. 50+ live tv channels. unlimited streaming. hbo. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace, black-ish, power, insecure, game of thrones.",-,-,-,85.28,Easy,7th and 8th grade,76,57,5,12,,,
-,-,"all your streaming in one place. sign up for your free trial on hulu! hit movies. prices starting at $7.99. live tv. all your tv in one place. 50+ live tv channels. unlimited streaming. showtime. hbo. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace, black-ish.",-,-,-,88.02,Easy,5th and 6th grade,65,52,6,11,,,
-,-,"cur your cable & enjoy a better live tv experience with hulu. hassle-free tv. no hidden fees. all-new tv experience. 50+ top channels. watch live tv & sports. enhanced cloud dvr. 7 day free trial. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,82.91,Easy,6th and 7th grade,62,43,8,9,,,
-,-,"enjoy all your favorite fox sports coverage live on hulu. start free trial now! watch live news. no hidden fees. all-new tv experience. no hidden fees. hassle-free tv. 50+ top channels. no hidden fees. watch live news. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,83.22,Easy,6th and 7th grade,69,51,10,9,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! live tv. showtime. hbo. hit movies. all your tv in one place. prices starting at $7.99. unlimited streaming. 50+ live tv channels. shows: grey's anatomy, rick and morty, this is us.",-,-,-,87.72,Easy,6th and 7th grade,59,45,5,8,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! showtime. all your tv in one place. hbo. prices starting at $7.99. 50+ live tv channels. unlimited streaming. hit movies. live tv. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,87.11,Easy,3th and 4th grade,63,48,5,9,,,
-,-,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! no hidden fees. 7 day free trial. watch live tv & sports. 50+ top channels. hassle-free tv. no hidden fees. watch live tv & sports. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,82.71,Easy,6th and 7th grade,64,45,8,9,,,
-,-,"stream the top sports networks and live games on all your supported devices! european soccer. 50+ top channels. watch live tv & sports. no hidden fees. all-new tv experience. no hidden fees. 7 day free trial. enhanced cloud dvr. watch live tv & sports. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,91.58,Very Easy,6th and 7th grade,70,52,10,10,,,
-,-,"enjoy all of your favorite shows & movies on hulu. start your free trial today! live tv. hit movies. unlimited streaming. hbo. 50+ live tv channels. prices starting at $7.99. showtime. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace, black-ish, power, insecure, game of thrones.",-,-,-,78.04,Fairly Easy,6th and 7th grade,70,51,5,13,,,
-,-,"enjoy all your favorite fox sports coverage live on hulu. start free trial now! all-new tv experience. no hidden fees. 50+ top channels. hassle-free tv. no hidden fees. watch live news. no hidden fees. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,83.02,Easy,6th and 7th grade,66,48,9,9,,,
-,-,enjoy all of your favorite shows & movies on hulu. start your free trial today! hit movies.,-,-,-,80.28,Easy,4th and 5th grade,22,16,2,3,,,
-,-,"watch the best of hbo now on hulu. start streaming all your tv in one place. hit movies. live tv. showtime. unlimited streaming. hbo. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,84.68,Easy,6th and 7th grade,45,36,3,7,,,
-,-,"enjoy your favorite fx shows live on hulu. start your free trial now! enhanced cloud dvr. 50+ top channels. hassle-free tv. 7 day free trial. watch live tv & sports. brands: fox, cbs, nbc, fx, tnt, tbs, hgtv, freeform.",-,-,-,91.37,Very Easy,1th and 2th grade,48,38,7,6,,,
-,-,"watch the best of hbo now on hulu. start streaming all your tv in one place. hbo. showtime. hit movies. unlimited streaming. live tv. 30 day free trial. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,86.71,Easy,5th and 6th grade,50,40,4,8,,,
-,-,"stream the top sports, news and entertainment channels in your area. enhanced cloud dvr. 50+ top channels. hassle-free tv. no hidden fees. watch live tv & sports. 7 day free trial. all-new tv experience. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,91.37,Very Easy,6th and 7th grade,58,43,8,8,,,
-,-,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! watch live tv & sports. 50+ top channels. hassle-free tv. no hidden fees. 7 day free trial. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,82,Easy,7th and 8th grade,55,38,6,9,,,
-,-,enjoy an all-new tv experience with personalized profiles and custom tv lineups! watch live tv & sports. 50+ top channels. no hidden fees. hassle-free tv. 7 day free trial.,-,-,-,65.79,Standard,8th and 9th grade,45,28,5,9,,,
-,-,"enjoy all your favorite fs1 sports coverage live on hulu. start free trial now! watch live tv & sports. all-new tv experience. no hidden fees. 50+ top channels. hassle-free tv. no hidden fees. watch live tv & sports. brands: fox, cbs, nbc, fx, tnt, tbs, hgtv, freeform.",-,-,-,83.32,Easy,6th and 7th grade,62,45,9,7,,,
-,-,"live tv & streaming in one place with hulu. start your free trial today! enhanced cloud dvr. 50+ top channels. hassle-free tv. 7 day free trial. no hidden fees. watch live tv & sports. brands: hbo, fs1, cbs, fx, cnn international.",-,-,-,83.42,Easy,5th and 6th grade,55,39,8,9,,,
-,-,"enjoy all your favorite fox sports coverage live on hulu. start free trial now! watch live news. no hidden fees. all-new tv experience. 50+ top channels. no hidden fees. hassle-free tv. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,82.71,Easy,6th and 7th grade,62,45,8,9,,,
-,-,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! no hidden fees. 50+ top channels. watch live tv & sports. hassle-free tv. 7 day free trial. no hidden fees. watch live tv & sports. brands: hbo, fs1, cbs, fx, cnn international.",-,-,-,74.56,Fairly Easy,7th and 8th grade,65,42,8,10,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! showtime. hbo. 50+ live tv channels. unlimited streaming. live tv. hit movies. all your tv in one place. prices starting at $7.99. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,87.11,Easy,3th and 4th grade,63,48,5,9,,,
-,-,enjoy your favorite fx shows live on hulu. start your free trial now! watch live tv & sports. 50+ top channels. no hidden fees. all-new tv experience. hassle-free tv. no hidden fees. 7 day free trial. enhanced cloud dvr.,-,-,-,84.13,Easy,5th and 6th grade,54,38,9,8,,,
-,-,"watch up with the latest episodes or binge from the beginning - only on hulu! showtime. all your tv in one place. hbo. 50+ live tv channels. live tv. unlimited streaming. hit movies. prices starting at $7.99. shows: grey's anatomy, rick and morty, this is us, empire, power.",-,-,-,87.31,Easy,6th and 7th grade,63,47,5,10,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! showtime. all your tv in one place. unlimited streaming. hbo. live tv. 50+ live tv channels. prices starting at $7.99. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,87.52,Easy,6th and 7th grade,61,46,5,9,,,
-,-,"stream seasons 1 - 6 of nashville on hulu. sign up for 30 days free today! unlimited streaming. hit movies. showtime. live tv. all your tv in one place. hit movies. prices starting at $7.99. hbo. showtime. 50+ live tv channels. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,88.02,Easy,5th and 6th grade,67,52,6,11,,,
-,-,"current hbo episodes, past seasons and hit movies. add hbo on hulu now. hbo. prices starting at $7.99. live tv. showtime. all your tv in one place. unlimited streaming. 50+ live tv channels. hit movies. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace.",-,-,-,96.89,Very Easy,5th and 6th grade,62,50,6,10,,,
-,-,"experience 50+ live & on demand channels + hulus huge streaming library. watch live tv & sports. all-new tv experience. 50+ top channels. enhanced cloud dvr. 7 day free trial. no hidden fees. watch live tv & sports. brands: hbo, fs1, cbs, fx, cnn international.",-,-,-,66.81,Standard,5th and 6th grade,65,41,9,12,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! live tv. showtime. hit movies. prices starting at $7.99. all your tv in one place. unlimited streaming. 50+ live tv channels. hbo. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,87.11,Easy,3th and 4th grade,63,48,5,9,,,
-,-,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! no hidden fees. 7 day free trial. 50+ top channels. hassle-free tv. watch live tv & sports. brands: hbo, fs1, cbs, fx, cnn international.",-,-,-,65.59,Standard,7th and 8th grade,56,35,6,10,,,
-,-,enjoy all your favorite fox sports coverage live on hulu. start free trial now! all-new tv experience. nhl. no hidden fees. 50+ top channels.,-,-,-,75.06,Fairly Easy,6th and 7th grade,36,24,5,6,,,
-,-,"current hbo episodes, past seasons and hit movies. add hbo on hulu now. hbo. prices starting at $7.99. live tv. showtime. all your tv in one place. unlimited streaming. hit movies. shows: grey's anatomy, rick and morty, this is us, empire.",-,-,-,88.53,Easy,5th and 6th grade,52,41,5,9,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! live tv. hbo. showtime. 50+ live tv channels. all your tv in one place. prices starting at $7.99. hit movies. unlimited streaming. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace.",-,-,-,86.5,Easy,6th and 7th grade,66,51,5,9,,,
-,-,"all your tv together in one place. choose the plan for you and try 30 days free! all your tv in one place. hbo. 50+ live tv channels. 30 day free trial. showtime. unlimited streaming. current episodes next day. hit movies. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,97.6,Very Easy,6th and 7th grade,65,53,7,8,,,
-,-,"current hbo episodes, past seasons and hit movies. add hbo on hulu now. showtime. hit movies. all your tv in one place. live tv. prices starting at $7.99. hbo. 50+ live tv channels. unlimited streaming. shows: grey's anatomy, rick and morty, this is us, empire.",-,-,-,89.24,Easy,2th and 3th grade,57,45,6,10,,,
-,-,"enjoy all your favorite fox sports coverage live on hulu. start free trial now! watch live news. all-new tv experience. 50+ top channels. hassle-free tv. enhanced cloud dvr. no hidden fees. watch live tv & sports. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,83.32,Easy,6th and 7th grade,61,45,9,8,,,
-,-,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! no hidden fees. 7 day free trial. 50+ top channels. hassle-free tv. no hidden fees. watch live tv & sports. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,82.41,Easy,6th and 7th grade,59,41,7,9,,,
-,-,stream seasons 1 - 6 of nashville on hulu. sign up for 30 days free today! hbo. showtime. unlimited streaming. live tv. 50+ live tv channels. hit movies.,-,-,-,79.26,Fairly Easy,8th and 9th grade,38,27,3,8,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! showtime. all your tv in one place. hit movies. prices starting at $7.99. 50+ live tv channels. unlimited streaming. live tv. hbo. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,87.11,Easy,3th and 4th grade,63,48,5,9,,,
-,-,"stream seasons 1 - 6 of nashville on hulu. sign up for 30 days free today! unlimited streaming. hit movies. live tv. all your tv in one place. showtime. hbo. 50+ live tv channels. prices starting at $7.99. showtime. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,88.43,Easy,7th and 8th grade,65,50,6,11,,,
-,-,"experience 50+ live & on demand channels + hulus huge streaming library. watch live tv & sports. all-new tv experience. no hidden fees. 50+ top channels. no hidden fees. 7 day free trial. enhanced cloud dvr. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,75.06,Fairly Easy,6th and 7th grade,63,43,9,11,,,
-,-,"start your 30 day trial and watch great exclusives and originals only on hulu! showtime. hbo. unlimited streaming. all your tv in one place. hit movies. live tv. 50+ live tv channels. prices starting at $7.99. shows: grey's anatomy, rick and morty, this is us, empire.",-,-,-,87.52,Easy,7th and 8th grade,62,46,5,11,,,
-,-,"current showtime episodes, past seasons and hit movies. add hbo on hulu now. hbo. prices starting at $7.99. live tv. showtime. all your tv in one place. unlimited streaming. hbo. hit movies. showtime. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace, black-ish, power, insecure, game of thrones.",-,-,-,85.89,Easy,7th and 8th grade,71,54,5,13,,,
-,-,"all the biggest games & your hometown teams in one place. start your free trial! golf. no hidden fees. soccer. nhl. live sports. all-new tv experience. nhl. hassle-free tv. nhl. 50+ top channels. nhl. golf. live sports. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,88.43,Easy,6th and 7th grade,65,50,6,10,,,
-,-,"enjoy all of your favorite shows & movies on hulu. start your free trial today! live tv. showtime. unlimited streaming. hbo. 50+ live tv channels. prices starting at $7.99. hit movies. all your tv in one place. hbo. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,88.53,Easy,5th and 6th grade,64,49,6,10,,,
-,-,"enjoy anlayour favorite fs1 sports coverage live on hulu. start free trial now! all-new tv experience. nhl. 50+ top channels. no hidden fees. hassle-free tv. no hidden fees. watch live tv & sports. no hidden fees. 7 day free trial. enhanced cloud dvr. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,83.62,Easy,6th and 7th grade,73,52,11,10,,,
-,-,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! no hidden fees. 50+ top channels. watch live tv & sports. hassle-free tv. 7 day free trial. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,82,Easy,7th and 8th grade,55,38,6,9,,,
-,-,"enjoy all your favorite espnu sports coverage live on hulu. start free trial now! watch live news. all-new tv experience. 50+ top channels. no hidden fees. 7 day free trial. enhanced cloud dvr. hassle-free tv. brands: fox, cbs, nbc, fx, tnt, tbs, hgtv, freeform.",-,-,-,83.42,Easy,6th and 7th grade,62,44,9,10,,,
-,-,watch showtime's taries on hulu with live tv.,-,-,-,88.74,Easy,7th and 8th grade,10,8,1,2,,,
-,-,"experience 50+ live & on demand channels + hulus huge streaming library. watch live tv & sports. all-new tv experience. no hidden fees. 50+ top channels. hassle-free tv. 7 day free trial. no hidden fees. watch live tv & sports. enhanced cloud dvr. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,74.96,Fairly Easy,7th and 8th grade,72,49,10,12,,,
-,-,enjoy anl your favorite fox sports coverage live on hulu. start free trial now! watch live news. no hidden fees. all-new tv experience. 50+ top channels. no hidden fees. hassle-free tv. nhl. live sports.,-,-,-,83.42,Easy,6th and 7th grade,49,34,7,7,,,
-,-,"catch all your favorite football action in one place. start your free trial! live sports. nhl. golf. soccer. nhl. golf. 50+ top channels. all-new tv experience. no hidden fees. live sports. nhl. hassle-free tv. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,88.74,Easy,6th and 7th grade,63,48,6,9,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! live tv. hit movies. prices starting at $7.99. unlimited streaming. all your tv in one place. showtime. 50+ live tv channels. hbo. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,87.11,Easy,3th and 4th grade,63,48,5,9,,,
-,-,"enjoy all your favorite espnu sports coverage live on hulu. start free trial now! watch live te & sports. all-new tv experience. no hidden fees. 7 day free trial. 50+ top channels. enhanced cloud dvr. hassle-free tv. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,83.22,Easy,6th and 7th grade,65,46,9,10,,,
